run_number,start_time,end_time,run_duration,start_depth,end_depth,run_length,avg_rop,bit_make,bit_model,bit_od,motor,motor_make,motor_od,motor_config,rss,rss_make
4,10/30/2020 3:20,10/31/2020 4:27,25.11666667,120.95001,1629.0634,1508.11339,60.04432873,NOV,TKC76,17.5,FALSE,,,,TRUE,Scout Vertical
5,11/4/2020 8:49,11/7/2020 6:25,69.59722222,1629.09,4556.19,2927.1,42.05771303,NOV,TKC66,12.25,TRUE,Scout,9.625,7/8-5.9,TRUE,Scout Vertical
6,11/7/2020 16:38,11/8/2020 22:54,30.26666667,4552,4964.3687,412.3687,13.62451652,Smith,MDSi616,12.25,TRUE,Scout,9.625,7/8-5.9,TRUE,Scout Vertical
7,11/9/2020 22:41,11/10/2020 14:58,16.28333333,4964.7676,5113.364,148.5964,9.125674514,Smith,Z713S,12.25,TRUE,Scout,9.625,7/8-5.9,TRUE,Scout Vertical
10,11/14/2020 11:43,11/14/2020 16:20,4.616666667,5112,5379.8945,267.8945,58.02768953,Smith,XS616,12.25,TRUE,Scout,9.625,7/8-5.9,TRUE,Scout Vertical
11,11/15/2020 2:46,11/16/2020 13:28,34.70277778,5112.0776,5472.668,360.5904,10.39082238,Ulterra,U616M,12.25,TRUE,Scout,9.625,7/8-3.0,TRUE,Scout Vertical
13,11/20/2020 0:20,11/22/2020 6:35,54.25,5505.0513,5855.826,350.7747,6.465893088,,,,,,,,,
15,11/24/2020 2:46,11/24/2020 18:30,15.73333333,5892.058,6360.453,468.395,29.77086864,NOV,TKC63,8.75,TRUE,Scout,6.5,7/8-5.7,FALSE,
16,11/25/2020 23:21,11/26/2020 10:40,11.31666667,6360.5713,6526.268,165.6967,14.64182916,NOV,SKC613M,8.75,TRUE,Scout,6.5,7/8-5.7,FALSE,
17,11/26/2020 22:57,11/27/2020 19:57,21,6527.22,6944.9404,417.7204,19.89144762,NOV,SKC513M,8.75,TRUE,Scout,6.5,7/8-5.7,FALSE,
18,11/28/2020 14:49,11/29/2020 9:39,18.83333333,6945.0454,7394.7295,449.6841,23.87703186,NOV,FTKC63-01,8.75,TRUE,Scout,6.5,7/8-5.7,FALSE,
23,12/3/2020 23:23,12/5/2020 6:59,31.6,7389,8024.3887,635.3887,20.10723734,NOV,TKC63,8.75,TRUE,Scout,6.5,7/8-5.7,FALSE,
26,12/7/2020 3:30,12/7/2020 23:55,20.41666667,8024.0015,8241.282,217.2805,10.6423102,NOV,SKC513M,8.75,TRUE,Scout,6.5,7/8-5.7,FALSE,
27,12/8/2020 20:34,12/9/2020 0:21,3.783333333,8242.251,8391.413,149.162,39.4260793,NOV,SKC613M,8.75,TRUE,Scout,6.5,7/8-5.7,FALSE,
28,12/9/2020 13:17,12/9/2020 15:31,2.233333333,8392.4375,8540.855,148.4175,66.45559701,NOV,SKC613M,8.75,TRUE,Scout,6.5,7/8-5.7,FALSE,
30,12/12/2020 12:35,12/13/2020 0:54,12.31666667,8535.091,9064.383,529.292,42.97364005,NOV,TKC63,8.75,TRUE,Scout,6.5,7/8-5.7,FALSE,
31,12/13/2020 11:44,12/14/2020 8:19,20.58333333,9064.573,9747.942,683.369,33.20011336,NOV,FTKC63-01,8.75,TRUE,Scout,6.5,7/8-5.7,FALSE,
32,12/17/2020 0:21,12/17/2020 18:38,18.28333333,9747.119,10490.022,742.903,40.63279854,NOV,TKC63,8.75,TRUE,Scout,6.5,7/8-5.7,FALSE,
33,12/18/2020 10:01,12/18/2020 23:58,13.95,10490.042,10960.597,470.555,33.73154122,NOV,TKC63,8.75,TRUE,Scout,6.5,7/8-5.7,FALSE,
